incident_id,timestamp,latitude,longitude,image_path,,
1,30-07-2024 03:20,11.5355,76.1528,d1.jpeg,,
2,30-07-2024 03:45,11.5209,76.1369,d2.jpeg,,
3,30-07-2024 05:33,11.5406,76.1634,d3.jpeg,,
4,30-07-2024 03:22,11.5292,76.1657,d4.jpeg,,
5,30-07-2024 03:55,11.5416,76.1376,d5.jpeg,,
6,30-07-2024 04:53,11.5366,76.1441,d6.jpeg,,
7,30-07-2024 03:04,11.5255,76.1614,d7.jpeg,,
8,30-07-2024 06:09,11.549,76.1393,d8.jpeg,,
9,30-07-2024 01:21,11.5225,76.1541,d9.jpeg,,
10,30-07-2024 06:38,11.5419,76.141,d10.jpeg,,
11,30-07-2024 05:58,11.5406,76.1507,d11.jpeg,,
12,30-07-2024 04:30,11.5215,76.1355,d12.jpeg,,
13,30-07-2024 02:02,11.5256,76.1698,d13.jpeg,,
14,30-07-2024 01:55,11.5356,76.1532,d14.jpeg,,
15,30-07-2024 06:37,11.542,76.1517,d15.jpeg,,
16,30-07-2024 06:35,11.5321,76.1443,d16.jpeg,,
17,30-07-2024 05:22,11.5486,76.1437,d17.jpeg,,
18,30-07-2024 06:44,11.546,76.1632,d18.jpeg,,
19,30-07-2024 05:31,11.5361,76.1669,d19.jpeg,,
20,30-07-2024 03:08,11.5229,76.1341,d20.jpeg,,
21,30-07-2024 01:30,11.5248,76.141,d21.jpeg,,
22,30-07-2024 06:18,11.5402,76.1366,d22.jpeg,,
23,30-07-2024 05:44,11.5404,76.1509,d23.jpeg,,
24,30-07-2024 02:00,11.5213,76.139,d24.jpeg,,
25,30-07-2024 01:54,11.5373,76.1348,d25.jpeg,,
26,30-07-2024 03:16,11.535,76.1355,d26.jpeg,,
27,30-07-2024 04:26,11.5216,76.1371,d27.jpeg,,
28,30-07-2024 04:30,11.5333,76.1651,d28.jpeg,,
29,30-07-2024 06:20,11.5338,76.1555,d29.jpeg,,
30,30-07-2024 04:33,11.5297,76.1347,d30.jpeg,,
